,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 7,Shared topic 8,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 6,RNA private topic 8
Edc3,0.58736694,-1.2934221,-0.3826685,0.034047984,0.04887455,0.31020832,0.084200256,-0.44971222,0.2033592,-0.25853008,-0.46162632
Clk3,0.857545,-2.5017343,-0.2337339,0.47496018,0.2868484,0.18197428,-0.03788601,-1.9701415,0.87193745,-0.1280927,0.29186675
Nptn,-1.0998523,0.38000292,0.10017273,0.26056626,0.32945168,-0.25469863,0.29463157,0.13528869,-0.25569633,0.087454736,-0.54876775
Hexa,-1.9839168,1.8760914,0.61979467,-1.6237614,-0.069305345,0.35366803,-0.6982005,1.6248202,-1.496442,-0.23786227,-0.100037806
Arih1,0.320584,-1.4247867,-0.1349322,0.81413007,0.41140553,-0.3418456,0.95951986,-1.1475346,-0.12523629,0.062351257,0.16324534
Pkm,-0.22215068,0.65054035,-0.6459124,-0.06174279,-0.7412734,0.25467142,-0.32450357,0.1752435,0.04454156,-1.1203514,-0.6710812
Myo9a,0.04483991,-0.7463794,-0.32814062,0.309436,0.8181317,-0.22315644,-0.115336895,-0.07263699,0.015233297,-0.17891996,-0.29246935
Tle3,-0.57301915,0.9367192,0.082698606,0.4812525,-0.48251042,-0.3764513,-0.006333442,0.37678277,-0.19819646,-0.07712163,-0.04892736
Kif23,0.40513733,-2.9471228,0.03049318,0.8797442,0.5613315,-0.13030331,-0.19988391,-1.57216,0.53314877,0.14844409,0.35729536
Anp32a,-0.12140074,0.19176656,0.073629186,0.04899579,-0.45545545,-0.029005207,0.2035744,0.01165534,-0.018840197,-0.017085416,0.061611094
Fem1b,0.109810166,0.509321,-0.012211369,-0.0687898,-1.0251945,0.023766903,-0.16759293,0.070420876,-0.051246528,-0.09650444,-0.56556153
Pias1,0.072454594,-0.65596324,-0.037312012,0.15990515,0.5798979,-0.066979095,0.17812452,-0.08381742,-0.021408526,0.017564557,-0.073629305
Map2k5,0.0024824506,-2.345161,-0.24840966,0.81923705,0.9369892,0.11928001,0.53241193,-2.0962584,-0.11450763,0.26881775,0.8617435
Smad3,-0.6496687,-1.4536566,0.08282718,0.49237126,0.99731374,0.0410053,0.5401938,-0.86348253,-0.24324244,0.18287733,0.30183208
Tipin,0.0048672836,0.20005964,-0.048893586,-0.06832737,-0.44779846,-0.15042333,-0.39223865,-0.03277478,0.024793714,-0.06016353,0.42730162
Rab11a,0.07276694,0.80832314,0.25293767,-0.7589643,-0.7176949,-0.4842748,0.00037144133,0.086981416,-0.047886584,-0.086061604,-1.0152985
Dpp8,0.02160656,-1.0999719,0.23586814,0.15595292,0.16729395,0.06942256,0.042605598,-0.17408676,-0.026327798,0.050206978,-0.07485917
Pclaf,1.7222813,-3.2447762,-0.2956025,0.2086024,-0.68103886,0.7754043,-0.33911616,-2.377324,2.2124019,0.052246574,-0.18930846
Csnk1g1,-0.84491,0.33313864,0.4574782,0.33558702,0.4914037,-0.2719609,0.06608197,-0.20939524,-0.6556381,0.43089667,0.07218325
Ppib,0.24429098,0.4948156,-0.9478846,-0.698311,0.068651356,0.19542052,-0.58763313,0.19163626,0.40624973,-1.1955099,-0.82268506
Herc1,-0.03801067,-0.4327215,0.041118987,0.52329654,-0.02554937,0.06567564,0.51444465,-0.3357729,-0.074127875,-0.2567684,0.35865578
Rab8b,-1.5955224,2.4811559,0.46160996,-0.7449253,-0.33644608,-1.0756762,-1.0338693,1.5064564,-2.0938323,0.0145954285,-0.14803277
Usp3,0.98926485,-2.7654905,-0.8793319,0.74015164,0.6138565,-0.13148837,0.30291772,-2.6613805,0.40726286,0.1432421,1.0413543
Vps13c,0.95593345,-2.8781073,0.16759533,0.75562006,0.63312256,-0.38417506,0.6098347,-2.0304055,0.27268118,-0.13234821,0.07084098
Rora,-1.9231071,1.4646468,-0.5996555,-1.1505244,0.88410085,0.7867257,-0.5084252,0.6054956,-1.1032276,-0.18036108,-0.09884419
