,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,Protein private topic 6,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
43_28,2.5248258,5.0049496,7.790286,2.4311228,1.2963345,0.82544875,1.7882729,16.972956,4.7065544,0.57156736,0.94215506,1.5178355
10_57,2.6339407,3.2979412,5.741029,7.039035,1.2351214,0.87255067,10.040262,2.9769793,2.2963507,1.6495928,1.3057119,1.6072576
49_74,20.280972,3.1635213,2.2685983,1.2778056,2.7794952,0.99552476,1.2368075,2.7986107,0.7186168,0.7344421,1.1572005,1.4714161
29_48,2.1501257,4.495183,4.530138,1.7608192,1.8963158,1.2079853,4.973825,7.6452246,1.7098141,1.3466083,1.3429184,1.1483805
39_29,2.0120301,5.9827027,3.598432,5.9385195,2.0756764,0.84982246,1.9124154,23.176207,1.4238719,0.8549778,1.0680783,3.4311655
20_83,34.5878,2.3973627,6.3744264,0.9377337,1.7398937,1.1983147,0.8932488,0.80636454,2.09717,0.7098649,1.3022107,0.38923064
30_63,2.3548515,4.4816427,2.1362464,18.258125,4.3034453,0.98771507,1.5763966,9.829415,0.87262,4.566647,1.3329417,7.030784
34_71,2.668992,5.162565,2.016333,1.3673819,20.438793,0.8637353,1.4930557,16.512043,1.5652024,3.3250256,1.5072713,4.07067
40_66,1.4150009,22.89495,1.4528463,0.9282194,0.95420504,0.6700515,0.53694755,2.1430058,0.5985225,1.3369349,0.81455994,2.725669
27_36,1.5271319,16.787882,1.4698508,0.9227302,0.96699595,0.9784175,0.7759774,7.0007887,0.7996514,2.3439388,1.550679,3.837684
54_16,7.2264857,2.7710223,19.330526,1.3856127,1.3146088,1.0702225,2.4381318,2.1421425,10.161835,0.6874042,1.2371333,0.632546
39_25,1.1003554,45.52293,1.1617112,0.5208599,0.6762445,0.59586054,0.41495195,0.8778583,0.43389928,0.6490758,0.58742815,0.7902135
36_66,1.4978135,16.20325,1.6182497,1.2695403,0.8895339,1.4372483,0.4261058,22.11007,0.7789025,0.8385612,1.0801818,40.072712
29_45,3.2059536,4.5900316,2.377334,2.3655825,5.157362,0.76149374,1.4775848,9.638338,2.550832,5.4503665,2.6156967,3.4821966
17_45,1.0369451,50.28928,1.3372564,0.76973176,0.48551595,0.65663934,0.4004018,0.8730239,0.42596114,0.65850914,0.5590113,0.98132306
47_32,2.1923437,5.105064,12.029614,1.9567223,1.6551995,2.6390684,1.9212141,5.538443,3.0097818,0.6644633,0.78114444,1.5182725
30_85,1.6312163,55.72535,1.1879947,0.79588157,1.4822493,0.86632466,0.7114383,0.7937273,0.63322157,4.619374,1.3071389,1.3544943
57_102,3.174635,3.6804256,2.8059292,2.411697,5.1165066,1.7824135,6.4849315,9.602528,1.1654589,3.9180627,1.1068605,3.3407214
61_32,21.64372,2.3974235,6.21696,0.94325495,0.96745336,1.2576396,1.5205009,1.2070953,19.538103,0.5406106,1.042794,0.43257925
47_98,1.486518,25.841705,1.3730305,0.6738461,0.9582232,3.707299,0.57874703,1.5747552,0.68806523,2.7200847,1.368669,41.22519
42_33,2.5394359,5.612134,4.776358,2.3859339,1.4125302,1.5768325,3.3579268,5.263212,2.538235,1.2061052,1.0643156,1.1294162
59_14,9.087093,2.6818845,6.7086916,1.3067732,1.0840046,0.7517479,3.6894226,3.7686176,9.710045,0.798328,1.0550835,0.80157006
26_64,1.3537109,32.183426,1.1566617,0.76848304,1.038626,1.0522743,0.5100566,2.9018762,0.6451556,0.83232373,0.76262295,3.2145364
22_58,3.140007,3.9805422,1.8970832,3.53794,28.835857,1.1656764,8.584329,14.44389,3.0526853,1.8361701,1.2781931,1.9863846
42_30,2.6839254,3.9730775,12.355665,1.9386408,1.3706684,0.7503005,1.6949841,8.95612,2.7796125,0.59069365,0.7479803,1.2485108
