,Shared topic 1,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 8,RNA private topic 1,RNA private topic 3,RNA private topic 5,RNA private topic 6,RNA private topic 8,RNA private topic 10
Abi1,0.8100935,-1.8376889,0.46514732,-0.05519514,0.35965812,0.2952846,-0.020941185,0.14147897,-0.0010351795,0.18569413,-0.011772586
Yme1l1,0.34736377,-0.9437636,-0.118728854,-0.016726684,-0.02966243,-0.0023293863,-0.00037397732,-0.033167064,0.0036730927,-0.05183641,0.0027677163
Psd4,0.17813596,-1.9766083,0.5121778,0.038190465,0.29473957,-0.10915923,-0.008969799,-0.040778983,0.094562516,-0.19603796,0.022247018
Ehmt1,1.0594684,-1.0291352,0.25032595,-0.055455413,-0.043368284,-0.04444182,-0.008494394,0.20279886,0.006287119,0.080829374,0.015725851
Nelfb,0.00075381994,-0.21928856,-0.2561656,0.001074553,-0.0023831928,-0.06083615,-0.000961048,-0.06875107,0.0047597913,-0.4193595,-0.007191278
Ssna1,1.0612015,-3.9174447,1.7907212,0.09532815,-0.5996315,0.625601,-0.16570352,0.4993071,-0.3521905,0.24985333,-0.37023014
Traf2,-0.37269276,1.3060062,-0.70663375,-0.21348749,-0.10094607,-0.0700133,0.008385954,-0.14568897,0.014698218,-0.7515937,-0.029099237
Mamdc4,-1.0351468,-1.1871029,1.8503077,0.036750212,-0.5586436,0.38901538,0.017661825,-0.13484181,-0.24698743,-0.6181252,-0.10350898
Pmpca,-0.90942585,-0.6403023,0.030198857,0.13374625,0.20239371,-0.038024258,-0.002057618,0.04505585,0.021529518,-0.7881774,-0.009481361
Sdccag3,0.08054759,-0.71425635,-0.06956884,0.00020059582,0.0426091,0.12172318,0.00080220937,-0.0040430943,0.0012304194,-0.0143688265,0.0010051368
Notch1,0.5500132,-1.2316173,-0.027298376,0.12467176,0.037483994,-0.10711708,-0.0060008434,-0.005394476,0.015768627,0.6258868,0.014645968
Surf4,-0.6961484,1.8720458,-0.92633367,-0.010245604,-0.20746195,-0.45525134,-0.0015734128,-0.5918451,-0.008171619,-0.1905242,-0.11204255
Wdr5,-0.3161587,1.1122336,-0.9922967,-0.07217257,-0.02463535,-0.22528581,-0.0016211147,-0.06549433,0.050274126,-0.016314683,-0.010205455
Setx,0.6669338,-0.55700254,0.58728707,-0.45028758,-0.17377442,-0.3145738,-0.0074876323,0.05720873,-0.04332294,0.21257523,-0.19747844
Odf2,0.87590814,-0.3006078,-0.09974201,0.0848114,-0.42050514,-0.07022799,-0.0022023632,0.02429893,-0.010034525,0.3836812,0.011298462
Sptan1,0.62503946,-0.4874316,0.54601413,-0.27443323,-0.2894494,0.101025134,-0.0037097014,0.023243492,0.00031934024,-0.39478192,-0.031617165
Ptpa,0.04318589,0.82116973,-1.0716794,0.011913514,-0.11412774,-0.5419574,-0.0018861449,-0.059292868,0.016374039,0.473862,0.008319954
Fubp3,1.0394777,-0.47628927,0.03695382,-0.03249167,-0.23278604,0.029274449,-0.0010521292,-0.009956096,-0.014536634,-0.38559088,0.0058237794
Abl1,0.98681986,-1.2958513,0.2533285,0.025370743,-0.11179549,0.09096317,0.00081748713,0.24121669,0.0025701271,-0.60938203,-0.026561663
Fnbp1,0.95407677,-0.016039474,-0.045582585,-0.89856416,0.17473824,-0.04290807,-0.014256055,-0.25210744,-0.08341945,0.9744524,0.033189803
Swi5,-1.1720896,-0.28294957,1.061305,-0.090592,-0.12590376,-0.06064052,-0.0017081329,-0.041812796,0.0004361357,-0.58676475,-0.014179844
Fam78a,0.5017473,-2.8859355,0.26570442,0.1751661,0.5671169,0.23986167,0.021664536,0.24073975,0.05700004,-0.054771036,0.008901683
Prrc2b,0.6459621,-1.0666935,0.5639337,-0.0026007085,0.007826107,-0.085131526,-0.008428924,0.4289828,-0.012223796,0.17216712,-0.04502926
Fam102a,-1.181579,3.9831278,-2.8444362,-1.4905777,-1.2429849,-1.2064745,0.09133349,-1.1897563,-0.3935124,-0.41968673,0.48963812
Cdk9,-1.778575,0.61698055,0.0036888048,-0.18199171,0.1349661,-0.12610155,-0.0054737283,-0.20770004,-0.01355091,-0.44943595,-0.0155623965
