,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
MRPL22,0.25660646,0.6457233,-0.30920354,-1.2107661,0.52909786,0.5221257,-0.030225003,-1.0048012,-0.015213435,-0.17553613,-0.27576247,-0.95536155,-0.65629697,-0.19435894,-0.4242443,-0.0225766,-1.1572605,0.5788121,0.40964127,0.55119824
HAVCR2,-0.92176694,0.23224562,0.5175241,-0.6303485,0.113208696,0.71008277,0.58866775,-0.8792959,-0.56451285,-0.34344578,0.5534453,-1.3792218,-1.7134426,0.64732933,-1.592321,0.7474872,-1.2346308,-1.1656003,0.07459083,0.5621914
CYFIP2,-0.06802687,0.2539199,-0.36855522,-0.3600472,-0.15144321,0.5816184,0.84736776,-0.6665896,-0.438176,-0.04411384,0.7799387,-0.81512445,-0.9487652,0.613209,-0.014038139,-0.52405375,-1.1511958,0.0874948,-0.9805831,0.37469494
TTC1,-0.21267052,0.46707058,-0.14497338,-0.22448775,-0.29753882,-0.21555963,-0.01958136,0.10781795,-0.69887894,0.30209923,0.07055651,-0.31671032,-1.8320456,0.10276935,-1.2089448,0.014901396,0.1529192,0.31338036,0.46063036,0.3395969
SLU7,0.36361963,0.32865638,-1.6706315,-1.2011118,0.3506405,-0.33926445,0.41160977,0.28872713,-0.31838447,0.39434254,0.32516634,0.121005185,0.27332568,-0.754222,-0.994401,-0.34859154,-1.2120134,0.7911715,-0.5193279,0.45814216
CCNG1,-0.58057404,0.21483736,0.013962783,-0.4128286,0.098624155,0.05577464,-0.2811288,0.54424185,-0.61859536,0.06435275,-0.2141024,0.31785735,-0.8404333,-0.13064586,-0.04161553,-0.8255169,0.39346364,0.26586425,0.1214765,0.18433993
MAT2B,-0.28531522,0.3846475,0.16715083,-0.9648385,-0.05845745,0.04404132,-0.24133024,-0.08162199,-0.051660288,0.03806915,-0.74688166,0.47717017,-0.9969264,0.19968055,-0.92574865,-0.063594885,-0.36044887,0.15919398,-0.49386033,0.085480124
ERGIC1,0.32683823,0.0018825836,-0.046924733,0.0069396687,-0.0359898,-0.015270709,0.06865706,0.30759895,-0.3387666,0.007934386,-0.002411939,-0.63987637,0.0012443129,-0.0054119094,-0.39974588,-0.0077889054,-0.07044795,0.091899,0.2425944,-0.11294436
ATP6V0E1,-0.15841423,-0.010494425,0.0056135026,0.073275484,-0.007399821,-0.015809428,-0.0047105644,0.034940507,0.0077658533,-0.0033136003,-0.01032921,0.28235745,0.054462723,-0.0032075974,0.22488189,0.0013303867,0.10225362,-0.040459402,0.004709537,-0.0764674
STC2,0.066142224,0.074758105,-0.24265544,-0.08099401,-0.0071616424,0.006150507,0.13003834,-0.041997653,-0.59389704,0.08261532,0.023233779,-0.9017658,-0.080362275,-0.008319586,-0.518792,-0.12564938,-0.15847518,0.18374501,0.061098818,0.16410905
