,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 8
83,1.1691568,2.575978,0.4694784,1.8041383,2.0624304,0.614046,4.3394346,0.9598829,0.31355602,0.58725256,2.1842854,0.8401777,0.46859616,1.7695879,1.2790902,0.58757395,0.60938895,22.39465,1.1060878,27.20454,1.7681681,1.1763687
84,1.1978468,2.735732,0.6060413,1.8536624,2.552312,0.7271509,2.5047479,1.0202157,0.3133743,0.7799884,3.1084726,0.6082175,0.6751168,0.8225068,0.5546813,0.5825044,0.6525423,33.177345,5.0366716,29.182812,1.7877616,1.5007142
85,1.3428862,2.5105286,0.5005071,2.1266203,1.3369682,0.6939626,3.5449176,1.1612179,0.32898682,0.89084226,0.9363336,2.1566443,1.2402226,1.1864401,9.408819,0.48649907,0.37105188,144.61166,0.9279047,27.506096,1.8598187,1.3181896
86,1.7185147,2.59826,0.41464463,2.2755337,0.89141935,0.54013133,2.4608402,1.239048,0.44866732,1.0067024,0.81177247,1.7975549,1.136647,0.78968436,4.473625,0.7189885,0.50749063,295.0673,1.149139,30.626959,1.9329741,1.427972
87,3.5929976,2.3947055,0.3825868,0.61595136,0.46973637,0.50772524,7.7658596,0.9773705,0.4003552,1.0628146,0.892689,1.3940148,1.4570093,1.3540522,1.3711739,1.2825171,0.6840691,153.01584,0.60701245,25.263393,1.5062736,1.3058586
88,5.316645,2.4470718,0.36021897,0.5776852,0.42066896,0.5069171,5.297161,1.0128567,0.3737855,0.98435444,0.98364174,1.1251569,1.251837,1.17819,1.1494739,1.2901835,0.67014503,122.57148,0.99992293,72.8611,1.61865,1.464716
89,5.8071876,3.1161075,0.40071705,0.5830714,0.4817754,0.5535425,12.164078,1.055505,0.41909486,1.0703641,0.91807586,1.6678813,1.171306,1.101898,1.9139861,1.7038214,0.56594247,88.30455,0.8243735,11.780344,1.6335027,1.0124856
90,5.1652637,1.9044168,0.40205723,0.73382443,0.6338525,0.5419084,4.15305,1.0448091,0.51701,0.59998816,1.625961,0.9073691,0.680246,0.8226281,1.4050484,4.119836,0.43482444,34.570953,3.9584522,29.465714,1.5646675,1.0615859
91,7.162965,2.113934,0.4196325,0.7421104,0.6946417,0.52481055,2.932921,1.0713649,0.5563857,0.6055978,0.8837454,3.9618232,0.5526597,0.71465796,0.94050896,2.3969114,0.38740417,32.935196,1.2655259,41.329266,1.4184527,1.3679967
92,4.847435,1.9829042,0.44441032,0.80977273,0.53100336,0.46940565,3.7865314,0.98132885,0.5597557,0.67399687,0.91720116,0.74382174,0.597263,1.126012,0.9457849,8.873488,0.5245335,12.761197,2.6778312,30.316473,1.4568805,1.2399203
93,6.231147,2.0614367,0.42992902,0.7293433,0.5247503,0.5122663,5.4157195,0.9646629,0.45182067,0.7483931,0.7065969,1.79859,0.82978785,1.3048229,1.2495741,4.6159015,0.41905585,14.288034,0.98059887,27.037539,1.4677557,1.2767724
94,11.069723,2.2095387,0.39809263,0.53261185,0.48707658,0.46010962,2.3685913,1.242217,0.5496199,0.72063196,0.86456066,1.2436496,0.8277893,1.3037798,1.2901357,6.424102,0.44761562,10.341994,1.6312926,75.94708,1.4983239,1.4748882
95,24.316471,2.0821433,0.36750883,0.40992558,0.4426875,0.421628,1.4355325,1.3884395,0.74629736,0.77404106,0.784875,1.3393174,0.86384404,1.3765211,1.3454534,5.3533993,0.45873278,8.845487,1.3565277,20.443817,1.2398208,1.367178
96,13.536512,1.8618338,0.35218978,0.49498317,0.43393496,0.51107764,1.4207808,1.1193378,0.7177584,0.84859896,0.61211973,1.7699767,1.0208948,1.546736,1.5820485,3.3746486,0.42136356,10.426952,0.6854306,203.94357,1.6801786,1.5402297
