,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 1,ATAC private topic 2,ATAC private topic 3,ATAC private topic 9,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
84,1.5177584,0.7856395,0.55158466,1.5465792,0.7865089,0.24130803,1.785624,2.5844207,5.05556,0.3473988,0.42559612,15.375126,3.8964245,12.718049,1.1987284,1.1490557,0.75860715,2.3878336,54.71645,1.1049486,1.03495,3.2456176,2.0086966,0.8685246
85,1.3328258,0.5471664,0.4202549,1.1264536,0.42197904,0.2612858,1.8395319,19.940256,2.75988,0.29472876,0.44564438,37.046314,2.4256864,3.2588012,1.2715406,1.7116885,1.0299343,6.6689563,242.05011,2.1256857,1.4442035,2.8538535,7.1048,1.0034596
86,1.3942987,1.4608943,0.40971282,0.8504467,0.48720205,0.26963192,2.546874,41.66637,1.6623784,0.32074642,0.5789465,32.541626,2.790867,3.1360075,1.5072837,2.2310848,1.3070518,2.126252,2449.3662,1.7208549,1.5107547,1.2918649,1.5605434,1.802855
87,1.3727565,1.4572606,0.4084748,0.7901834,0.3985278,0.29008186,3.3327458,37.154144,1.4491525,0.33929867,0.47021765,28.83128,2.5552077,2.3074229,1.482573,2.2037764,1.3288093,2.0940428,2659.757,1.6822449,1.5230007,1.2574947,1.4850173,1.8659728
88,1.380618,0.5546633,0.40142697,1.6167796,0.39424488,0.3088745,3.580433,34.98985,9.943844,0.3256814,0.40293127,7.078112,2.4362226,1.5244758,2.1478631,1.7295988,1.4511081,6.004541,192.83017,3.9612389,0.9065044,2.022448,26.416372,1.0370325
89,0.97918856,0.64982754,0.9399271,0.8019036,0.5341494,0.3856475,1.5472214,289.268,1.0482242,0.5064013,0.5930917,5.6470666,3.0153835,1.723754,0.7382668,1.2933731,0.49163914,1.8133984,1.2899088,2.3420303,0.7593527,2.0924764,1.1985271,1.3874187
90,1.0594182,0.8828827,0.63343215,1.3699248,0.54404914,0.44813526,1.1290759,479.85992,1.7622542,0.4762532,0.6093001,3.862511,3.1523042,1.6941017,0.7740464,1.3135265,0.5078332,1.8311191,1.290787,2.4101603,0.7526155,2.0710862,1.2128226,1.3641703
91,0.9724747,0.53349924,0.55188566,1.4083498,0.3379563,0.31883985,1.9239249,60.43118,2.5906978,0.39924687,0.5101393,24.934254,2.6551826,2.3858154,0.88450986,1.3724054,0.5566706,1.8821992,1.2932584,2.6145992,0.73366773,2.0115502,1.2542998,1.300299
92,1.2732391,0.33179146,0.49790663,1.4716016,0.40812624,0.27634293,2.4238465,9.681776,5.4159164,0.4303668,0.38076884,10.655434,2.522325,2.4100525,2.6754055,2.0056314,1.2323889,2.3856475,1.3135153,5.2940745,0.58249277,1.5629319,1.6795038,0.85967547
93,1.2810335,0.6826124,0.6218856,2.4223752,0.40266252,0.32816595,3.312161,3.0944872,4.3478,0.4300947,0.37691048,16.846071,3.7305264,4.3934937,8.479348,2.6747425,0.7403507,0.5182494,0.62829274,0.5174448,0.40731788,0.45220456,0.60199934,0.6841237
94,1.0268865,0.53251445,0.6207137,2.7740917,0.575969,0.47441268,2.2408643,1.6931993,4.271111,0.81111073,1.2109542,10.907873,4.107124,5.2043657,2.180857,1.5840472,1.5613393,3.2260122,0.81288767,0.7306219,0.6082912,1.8114688,1.1279708,0.51774985
