,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Metabolin private topic 2,Metabolin private topic 3,Metabolin private topic 4,Metabolin private topic 6,Metabolin private topic 9,Metabolin private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
64,1.4392303,1.024737,0.9266936,0.6241678,0.561476,0.6594156,0.9659854,0.8912165,11.9899025,0.64970386,2.43433,0.5850105,73.69418,1.4706122,0.7977707,1.4325795,3.4032948,1.2098941,1.1485324,0.8590529,1.3491621,2.9647722,0.6876068,0.85236764,0.7769886
65,1.5575473,0.9638926,0.71982014,0.66502035,0.4340387,0.65369266,1.171534,1.5187418,28.933693,0.9180684,2.0339875,0.44717214,12.440838,1.3969278,0.603925,0.893692,0.7940314,0.53983426,1.5563009,0.568027,1.3371192,1.3421309,1.1789267,0.8226182,0.8306667
66,0.86048687,1.0195432,0.5491007,0.52638793,0.33275208,0.5516108,1.6148171,1.0994438,48.351128,1.2006791,2.0347571,0.385783,2.9483879,1.3524659,0.48564124,0.8028348,0.48782048,0.35233703,1.1991673,1.1541815,0.4734972,0.48009035,1.0499799,0.86887026,1.0603044
67,0.6282242,0.92258346,0.58487177,0.4221471,0.27137113,0.578382,2.425683,2.335705,40.45701,1.3668873,1.9991757,0.4841771,1.3875427,12.954344,0.5495177,0.53266174,0.55661744,0.44878766,1.3356692,1.2388301,0.53589475,0.663306,1.135212,0.829352,1.2088544
68,0.65610015,1.1853497,0.61684704,0.41505754,0.2708413,0.6176934,2.6067724,2.5545769,42.89734,1.0664229,2.0110815,0.5369913,1.0915756,16.75407,0.5912571,0.50142515,0.4524092,0.33944577,0.9911323,1.6072752,0.41511148,0.45927593,0.95713097,0.76924545,1.2376828
69,0.7127228,0.90430576,0.5306327,0.45602894,0.30093014,0.59040004,1.8091807,2.0127306,42.698357,1.3998888,2.120086,0.4427829,2.5655215,6.044786,0.4891357,0.5983258,0.34417015,0.23799366,1.9424886,1.8865064,0.31879422,0.5688242,0.8063538,1.5684795,1.0176663
70,0.74089134,1.2152762,0.43607908,0.41938728,0.2373236,0.50782984,2.023905,1.867749,27.110184,2.4643297,1.9866664,0.391053,2.5493748,7.6474466,0.48948497,0.6380161,0.3573516,0.26022595,1.6945868,1.560509,0.38717192,0.60749155,0.80014616,1.3856767,1.0013053
71,1.2819479,1.849048,0.3589621,0.34791374,0.18087609,0.5039689,2.4458263,2.0968735,11.384417,4.037819,2.0615375,0.36706325,2.7017982,8.3043785,0.43787864,0.7352599,0.5565641,0.26194328,6.171127,1.4876703,0.5318829,1.1896758,0.7947707,4.2188554,0.7791585
72,1.9376342,3.400714,0.37577584,0.38393718,0.16993284,0.4538586,1.8449061,2.5212488,4.3592763,3.1001415,2.6696663,0.3764224,8.393318,6.3497815,0.4345994,0.75320446,0.9241497,0.38425413,4.0221343,1.4551109,3.818457,2.5884516,0.949515,2.5670662,0.686147
73,1.4842312,5.750448,0.524601,0.46503812,0.2445485,0.6008198,1.3056724,3.9058867,2.0380647,2.132296,2.5732527,0.43597004,9.632682,6.2444897,0.550085,0.5000515,3.4023993,1.198571,0.732495,0.88385147,5.5508547,3.2905211,0.79406357,0.98624986,0.90490013
74,1.2256737,9.984229,0.6798401,0.41096997,0.36444294,0.98453677,1.0809672,3.3397274,1.6559215,2.141086,2.5022168,0.42220217,10.485173,5.830403,0.56327295,0.4507638,0.9889821,1.3840826,1.1191984,0.7283601,0.8570087,0.7575207,0.94567883,1.0769999,0.8301088
75,1.0861485,10.002556,0.6910294,0.42564267,0.4250011,1.186094,1.0312711,2.520115,1.5770837,2.0047805,2.339324,0.42658845,13.312293,4.880733,0.6988955,0.72056794,0.8946088,1.5254331,1.1730748,0.746673,0.8307335,0.7626977,1.0153688,1.0239311,0.86935866
76,0.89838374,8.896006,0.7309666,0.44901192,0.45375896,1.8850403,0.94231534,1.2686021,1.4943902,1.7701848,2.5922427,0.4376547,13.91246,2.3559105,0.62646383,0.5562874,0.8408597,2.034093,1.0583179,0.7184908,0.70403266,0.63941324,1.0879972,0.96348506,0.9034653
77,0.46319407,1.494601,0.6947025,0.3305399,0.3056919,0.7645613,2.2002301,1.4584191,17.047375,1.6699249,1.5714493,0.3897437,5.4493957,11.612966,0.4512251,0.5538499,0.78416264,0.7507759,1.2165821,1.6167231,0.71572906,0.9346087,756.9977,1.2923096,1.2135596
78,0.4604264,1.5113056,0.7008269,0.3304597,0.3101832,0.77658165,2.1415288,1.5169055,17.308662,1.723871,1.6029499,0.3642137,5.553121,11.182139,0.43136922,0.5105265,0.78416264,0.7507759,1.2165821,1.6167231,0.71572906,0.9346087,756.9977,1.2923096,1.2135596
79,0.45815885,1.4583104,0.6639644,0.31911767,0.29596323,0.7116571,2.2660036,1.3580446,18.837688,1.6291786,1.7323471,0.40343037,4.368808,19.439543,0.5047362,0.5456617,0.78416264,0.7507759,1.2165821,1.6167231,0.71572906,0.9346087,756.9977,1.2923096,1.2135596
