,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 9,RNA private topic 10
MICOS10,0.16400659,0.6070523,-0.6273298,0.07230807,0.19787288,0.050580353,-1.8566283,-0.17902197,-2.631822,0.6033554,-0.35978243,0.5151114,0.48284543,-0.035936847,-0.17308956,-0.07317999,0.07391563,-0.13389541,0.23094057
RNF186,-0.49296534,0.67536664,-0.9463974,-0.3286509,0.17284195,-1.2053444,0.6704125,-0.66415095,0.6743172,0.93801314,-0.18633302,-1.2480236,0.29877034,0.8824757,0.112735726,-2.443875,1.0557919,0.9757272,-0.534609
CAMK2N1,-1.2334892,0.46614495,-0.30179518,-0.143196,0.07216903,-0.10381008,0.82266176,-1.1350925,0.6504671,0.82655686,-0.058833454,0.10445975,0.19393963,0.47566068,-0.854999,-2.5961127,0.36722863,0.631057,0.836008
PINK1,0.13742498,0.029355552,0.04606379,0.3248354,0.8117564,-2.286584,-1.3791409,0.3925635,-1.4957699,-0.79484254,0.61382216,-1.0200202,-0.62658346,0.16346662,-0.0124402745,0.014975527,-2.685641,0.027922755,0.8417151
DDOST,0.12767185,-2.8689938,0.23944364,0.80099887,0.9332468,-0.06442781,-2.9407196,0.70818955,-0.21501142,-0.70982605,-0.5907099,0.39453593,-0.083022505,-2.4345767,0.87217987,0.6618593,-2.4858773,-2.810335,-0.4425032
HP1BP3,-0.7147981,-0.048623573,-0.37755436,0.036140773,0.28963444,0.11867182,-0.84544706,0.19396052,-1.2623436,0.6317038,0.039959405,0.65761644,0.5947811,-0.15324503,0.029517848,-0.07509458,-2.6727705,-0.21123321,0.32952332
ECE1,0.77561265,-1.1298445,-0.076184295,0.7380778,0.4994719,-0.5262428,-2.6048133,1.0321156,-1.7799772,-0.85399896,0.7217399,-0.48160815,-2.469067,-2.4106688,0.677426,1.2132151,-2.2282488,0.38108715,-1.7260269
ALPL,-0.7286434,-1.3524338,0.84316146,0.9725879,0.6341291,0.49441895,-2.108326,0.6985998,-2.575849,-2.2207227,0.27075306,0.5825808,-2.4965515,-2.2930825,0.98207146,0.8347717,0.25309035,-2.4281244,-2.4233866
CDC42,0.11940329,0.4954853,-0.5053989,-0.360323,-0.3414678,-0.071864866,0.4826536,-0.2821537,-0.08642285,0.89889085,-0.5473329,-0.8968306,0.8297054,-0.35875925,-0.76175636,0.23474531,-0.004665486,0.70565194,0.97602016
C1QA,0.40507478,-0.10857048,-1.9741958,-1.2699758,-2.2590258,-1.1045158,1.3916382,-0.46540904,1.3114929,0.8939189,-1.4014276,-2.9014714,0.87715495,1.3465459,-1.3909751,0.38425654,-0.61695516,0.6493509,0.8562748
C1QC,0.78572434,-0.37772906,-1.6224589,-0.43505406,-0.99806046,-0.49000058,0.23447753,0.37292564,0.9643567,0.7660671,0.06531602,-2.7142096,0.8803822,0.5489343,-0.32188773,0.99691266,-2.784027,0.07117793,0.7057438
C1QB,0.33093286,-0.60114455,-2.338845,-1.5678973,-2.6401777,-1.751445,1.6944227,-0.4445701,1.3497574,0.82724124,-2.2025676,-3.0287726,0.9443575,1.6841182,-1.2081863,0.34407702,-0.49455422,0.0802651,0.5206323
TCEA3,-0.23301704,0.20159532,-0.6356412,0.05339496,0.414833,0.22813474,-1.7232754,-0.9687011,0.7221661,0.31332955,0.49701574,0.29409474,0.42527506,-1.9383712,0.126417,-1.8918818,0.624656,0.4532087,-0.28849095
FUCA1,0.24113992,-0.8068418,-0.5507521,-0.0059532863,0.118416436,-1.2078869,-0.14411278,1.2455376,0.6654648,0.21342205,-1.6148933,-0.58294153,-1.2269573,-2.2403052,0.53303087,1.5793219,-2.5234923,-2.0980148,-0.5579574
CLIC4,0.20588279,0.036279105,-0.3755421,-0.39686888,-0.05482177,-0.55218244,0.5444649,-0.86117333,0.22458012,1.2459708,-0.28880373,-1.4746851,0.6933217,0.59002274,-0.6353291,-0.4788068,0.8285569,0.3098975,0.39088252
SYF2,-1.0575453,0.116073474,-1.1441815,0.25228354,0.27974817,0.5210584,-1.6520902,-0.38292974,0.04118055,0.59561414,0.41951683,0.14858356,0.42102015,-1.463747,0.4700536,-1.4973197,0.72631943,-2.199417,0.13657437
TMEM50A,-0.002562155,-0.87660885,0.24070159,0.40689903,0.7206485,-0.39104295,-2.925542,0.39537522,-2.8179286,0.7002781,-0.9759795,0.6678422,-0.13784964,-2.5321696,0.5203755,0.08643303,-1.5150148,0.14441414,0.6671388
SH3BGRL3,0.35396343,-0.18517798,-1.2268763,-0.8373666,-1.341547,-1.0761734,1.0774316,-0.25785118,1.2883323,0.60836697,-0.85617626,-1.8867401,0.6849911,1.2464772,-1.3688596,0.34066194,0.21555328,0.7508368,0.14166285
CD52,0.99020714,-2.8125067,-0.67034465,0.3513761,-0.5216922,0.5583408,-2.1096928,1.2339854,0.1675814,-0.24643849,-0.37169313,-2.1337376,0.9491725,-1.8421301,-0.6497585,2.0221996,-1.8753616,-2.170456,0.905117
HMGN2,-0.24879247,0.16946232,-1.5631611,-0.78708655,-0.90618575,-0.47563544,1.6439523,-1.7465043,0.7347192,0.75252503,-1.1455091,-0.03742377,-0.008481259,1.2384021,-1.7438397,-1.308857,0.60125077,0.58892226,0.92437565
