,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,ATAC private topic 2,ATAC private topic 3,ATAC private topic 4,ATAC private topic 6,ATAC private topic 9,ATAC private topic 10
691.0187258623997,-3.7233026,-1.5714175,0.26610348,-2.9052122,-3.0584362,1.8077012,0.3341824,2.806084,-1.8554679,0.514147,-9.868061,-2.9011152,-3.0732074,2.1088634,-2.2819285,-2.9424958
700.0348936237547,-4.0778437,-0.05392503,-0.9542486,-3.8802843,-2.917912,1.0429636,1.4416803,2.5624895,0.3891189,1.1494299,-11.556326,-2.237353,-1.1714307,2.2882338,-3.0005698,-3.2809436
700.7031875343506,-3.5600677,-0.49207512,-0.07346661,-3.8993638,-3.6453195,1.117789,0.9039011,2.70771,0.78310686,0.87958235,-9.189043,-3.0282443,-2.6217575,2.424793,-2.1005507,-3.1176598
706.1323636420491,1.2155542,-3.9218712,-4.5758853,3.5456038,-2.043844,-4.2844367,-1.0135305,-3.973562,-3.738501,-4.4418974,4.0261374,-3.0771937,-0.6201587,-3.904731,-2.9987047,2.9142244
707.130415769561,1.4588311,-3.7778661,-4.402552,3.5723338,-2.1007636,-4.089106,-3.5136535,-3.603167,-3.589352,-4.1552544,4.399277,-2.0735164,-2.9766216,-3.4610198,-3.0793128,3.0400646
708.8632285375837,-0.30599505,0.07188702,-0.237355,-3.263045,1.8335267,0.4015466,1.0011623,1.5124635,0.35337943,0.11927242,-9.057759,1.6021662,0.990449,0.88841164,2.109746,1.6502849
709.3630779129818,-1.212191,0.16192594,-0.06608332,-4.431302,1.7306194,0.6120113,1.0920099,1.7570841,0.45380753,0.3443793,-13.776229,1.1590891,1.0698895,1.0776012,2.293461,1.3056812
709.8640888724873,-4.566835,0.3854302,0.23579027,-4.72689,0.95480466,1.0025988,1.3118767,2.2750137,0.594306,0.5879739,-13.330404,-0.04140906,0.89147925,1.441707,2.325761,-3.509438
710.3643860557818,-4.281754,0.51645505,0.06784216,-4.0236635,-3.5221353,1.4309719,0.90698355,2.8679116,-0.10114083,0.2138981,-11.95603,-3.0730498,-3.2861383,1.7647688,0.20253162,-3.3586879
714.7102193079945,-3.608213,0.008818745,0.8359971,-3.421545,-3.3174257,1.2364682,1.2478802,2.3484042,-0.42935812,1.3078916,-9.546864,-3.1331189,-0.74784034,2.5792432,-2.534817,-2.6486967
715.0445821791457,-3.6829572,-1.3452102,0.45398244,-3.618715,-3.4011943,1.4131919,-2.3990211,2.9150333,0.12908992,1.2888026,-9.806966,-2.8611164,-0.6949245,2.4079201,-2.8014712,-2.9789538
730.8767630007383,-0.22362006,-0.025380738,-0.23874041,-0.9662873,1.6936636,0.33734596,0.95391315,1.4141523,0.26254743,0.11814823,-7.131428,1.4764363,0.9045821,0.82665735,1.9830588,1.5580331
731.3768159003127,-0.93319225,0.15125258,-0.08974522,-4.3624415,1.7397453,0.5721998,1.0487149,1.6847602,0.39795607,0.21296057,-11.152813,1.3588657,1.0335679,0.9711845,2.2671816,1.2995502
731.8771190384252,-4.3423204,0.43459207,0.23340778,-4.5541883,1.0368466,0.9466256,1.3382195,2.2356098,0.45814228,0.55913204,-13.657654,-2.8519404,1.0617257,1.3866489,2.4009197,-3.0591633
732.3776301809983,-4.4807596,0.16970119,0.52103454,-4.2074084,-4.0366917,1.4230323,0.94367504,2.7201185,-0.012835711,0.75411606,-12.431993,-3.7280664,-3.1564438,1.9059178,-2.4705477,-3.9163148
752.8898617937245,-0.119714245,0.04966114,-0.24534461,-2.0286093,1.8126243,0.42842194,0.9751135,1.5204959,0.3746825,0.14500207,-6.730257,1.5976152,1.0005839,0.91462016,2.0167737,1.546789
753.389508370205,-1.5329932,0.26332462,-0.026497258,-4.654305,1.7087231,0.55583084,1.1089947,1.7353479,0.4507137,0.2873198,-13.083229,1.4104296,1.0754633,1.000978,2.2759025,1.1156828
753.8900434182241,-4.5721507,0.4648326,0.21976708,-4.5093417,0.90936923,1.0029842,1.281319,2.2578852,0.3463121,0.61181474,-13.198389,-2.9973342,1.0332179,1.3784387,2.3609273,-3.1937532
754.3906651160707,-4.358925,0.35374197,0.45396405,-4.037195,-3.6704848,1.434185,0.84499145,2.731869,-0.49674115,0.6509774,-11.626864,-3.6777873,-2.8174956,1.9648085,-0.9084715,-3.7884648
