,Shared topic 1,Shared topic 3,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,ATAC private topic 3,ATAC private topic 4,ATAC private topic 10,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 6,RNA private topic 7,RNA private topic 8,RNA private topic 10
92,7.5173483,1.2866907,0.48465258,5.1391788,0.9472482,0.6518707,0.56236327,0.7103543,16.589695,2.1842728,0.7158595,0.53916854,0.74659735,0.586306,2.256405,0.653602,16.530552,0.5080254,2.8882115
93,5.5726643,1.3823667,0.620675,12.430058,0.75770694,0.85114264,0.4723922,0.80582625,13.192611,1.0317643,0.78492206,0.58035666,0.7233581,0.5497031,4.135721,0.5379878,9.271087,0.33903483,3.2259521
94,3.2671905,1.4704533,0.4226787,22.708862,1.1773512,1.4655852,0.8704828,0.67241865,7.7833424,1.1307075,1.4128593,0.66724896,0.9927877,0.6078987,2.6426256,0.45292798,2.8118038,0.24797164,1.4725026
95,3.0074272,2.0335536,0.40410417,28.47753,1.0763948,1.5925627,1.6265767,0.73600864,6.843114,0.9110113,0.92312545,0.8698368,0.7112709,0.6830708,1.0118358,0.6135471,2.2144828,0.26291198,1.5953319
96,3.5882027,1.0119932,0.42903036,16.5629,1.1935062,0.7985449,0.5847794,1.052257,56.944767,1.5659891,0.7591987,0.77290994,0.574971,0.6818147,0.8024645,0.66754174,2.299477,0.28323218,2.351956
97,3.0840125,0.9069545,0.41651776,13.931416,1.1465245,0.8405546,0.5896765,1.0956037,65.194305,1.2118299,0.72372663,0.79260725,0.546558,0.70967156,0.66956216,0.7533886,2.0338597,0.3036722,2.3977435
98,2.3381631,1.2540165,0.40604675,17.756872,1.2155954,1.1739368,0.80934644,0.77942216,58.02359,1.0973675,1.1619859,0.7782907,1.0583215,0.7592593,0.52426195,0.6367756,1.6014013,0.4175165,1.4641293
99,1.7080612,1.2149864,0.2609085,12.790829,1.2090544,3.1775186,1.6432562,0.8097548,66.36287,1.0921992,5.979431,1.3870156,15.101746,1.044862,0.6788856,0.5752425,1.0014591,0.5351707,0.46543473
100,1.5711299,0.89695704,0.25074762,10.130381,1.0695167,5.8012204,2.445747,0.84860814,63.16973,1.1470925,1.2772515,1.4102205,466.91104,1.2872655,1.5128618,0.7449275,1.8108184,0.7474603,0.6116874
101,1.5349364,0.8775711,0.21968742,9.903467,1.1361481,13.535694,2.0928164,0.78414685,59.97009,1.3192095,1.0935405,1.400926,641.5541,1.5027843,0.86155564,0.79977286,1.9184504,0.8020194,0.7156294
102,1.6917067,1.0292771,0.22021052,7.063038,1.234393,8.374933,1.2131743,0.70867896,48.514553,1.0887053,0.99059576,1.4251902,546.21277,1.1237062,0.783694,0.89423174,1.877951,0.85588515,0.79728997
103,1.5805626,1.2804978,0.2168874,6.9528694,1.4547288,7.2792177,1.1824497,0.68951,42.81624,1.1229491,0.9021296,1.3926513,306.0667,1.5739628,0.75090194,0.90451115,1.855687,0.8615747,0.78477985
104,1.4617687,0.9199056,0.21105425,6.3920717,1.1232193,4.2025385,2.9446845,0.702065,46.424534,1.1492673,0.6010421,1.5950663,1.8127084,39.536663,0.5986795,0.79338527,1.471828,0.9383522,0.53329235
105,1.5041487,1.1898142,0.22300008,5.3312483,1.483949,11.2366705,1.4226108,0.6676991,41.816853,1.1977262,0.74998844,1.480376,0.8544745,59.417908,0.8648766,0.6236773,1.3477942,0.7073996,0.52550995
106,1.6107625,0.9315824,0.24178448,9.782772,1.0750414,4.0772443,1.5611293,0.77652705,56.644463,1.2956104,0.82195073,1.8830252,1.8118927,94.31092,0.8027851,0.7013548,1.4847063,0.7902831,0.6663007
