,Shared topic 1,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Protein private topic 1,Protein private topic 4,Protein private topic 8,RNA private topic 1,RNA private topic 2,RNA private topic 3,RNA private topic 4,RNA private topic 5,RNA private topic 7,RNA private topic 9
10_69,10.949794,1.0244964,13.222674,1.0685402,0.8088634,0.86601424,1.3974972,6.078625,3.86915,2.4761024,1.4477146,5.903652,1.0562629,0.784086,7.915141,1.2443159,1.6158079,1.7934358
10_7,9.493219,2.6783404,9.414031,0.9336733,0.8311372,1.093755,1.4388689,4.334814,2.6018677,1.3214287,1.0839374,3.3282378,0.61701965,0.9465149,4.0183935,1.0604964,20.90283,6.765317
10_70,22.06433,0.92609054,3.8685467,0.88669324,1.0258923,0.90173846,1.515935,4.3353543,3.1392899,1.1765441,1.274365,10.956394,1.1292701,0.61426276,6.8890195,0.668595,2.3567507,1.9390143
10_71,7.602808,8.026103,1.1491063,1.0697653,0.64202565,0.8719364,1.6513205,1.3601296,3.3751569,1.0408933,4.784957,2.1150546,0.5938103,1.2356278,12.305315,1.2073706,7.004455,2.6222973
10_72,3.4991589,6.831452,0.83154535,1.7500334,0.8400874,1.0906758,1.529278,1.3115296,2.843959,0.59451646,19.129353,2.9446187,0.6890981,1.6094065,22.487804,1.0961896,2.3194258,2.0046642
10_73,16.542536,1.7820301,1.0961889,1.0932871,0.7865936,0.95049375,1.2898654,1.9140705,2.9649913,1.3243899,3.4815016,22.535978,0.8968744,0.5108857,11.331146,0.99701774,1.0546876,1.96541
10_74,14.770061,0.65158015,0.5889815,0.8064525,0.8471873,1.3227446,1.2041602,5.2678266,3.9677873,1.5957681,3.4551644,4.1631756,1.3752915,1.8104006,7.7424946,0.92638826,0.9086407,0.66550493
10_8,17.372435,1.6888316,1.0721545,0.9055154,0.71484566,0.9101232,1.5101035,3.1562161,2.5424519,1.3127959,2.2244902,3.8884141,1.360799,1.207061,24.927187,0.8062395,2.0392451,1.0091757
10_9,3.1166193,0.67981285,3.2720175,1.0862799,3.4713933,1.0748353,4.4203267,5.765857,6.316577,1.8606855,0.56925905,1.4186959,9.009369,0.7458521,4.8585415,0.8712842,2.0001583,2.587712
11_10,1.7179192,0.76326317,0.6641239,2.723012,1.1881955,8.82383,1.474387,0.6424579,5.2560654,0.64428484,6.6647806,1.2966877,1.1737931,380.24905,2.6110106,1.2215025,0.9157362,0.59606576
11_11,14.676465,2.393136,5.588571,0.8885832,0.609445,0.76610184,1.2812564,2.2945967,2.5257878,1.5304813,3.2077887,2.1762419,0.7718853,0.8523028,11.09988,1.1626171,16.071012,3.1227267
11_12,2.3417268,0.5786408,0.6086983,0.8497847,59.688133,1.2601714,1.9990036,0.7764853,20.736544,0.76951367,1.2205623,1.1151111,1.6450194,0.8329701,2.3030415,1.5238646,0.62044746,1.5190005
